#SampleID	Target	Project
C_16S_4_102SI_1_root_S109	16S_515_926	LH5TF
C_16S_4_102SI_2_rhizo_S22	16S_515_926	LH5TF
C_16S_4_102SI_2_root_S121	16S_515_926	LH5TF
C_16S_4_102SI_3_rhizo_S34	16S_515_926	LH5TF
C_16S_4_102SI_3_root_S133	16S_515_926	LH5TF
C_16S_4_110SD_1_rhizo_S4	16S_515_926	LH5TF
C_16S_4_110SD_1_root_S103	16S_515_926	LH5TF
C_16S_4_110SD_2_rhizo_S16	16S_515_926	LH5TF
C_16S_4_110SD_2_root_S115	16S_515_926	LH5TF
C_16S_4_110SD_3_rhizo_S28	16S_515_926	LH5TF
C_16S_4_110SD_3_root_S127	16S_515_926	LH5TF
C_16S_4_203SD_1_rhizo_S40	16S_515_926	LH5TF
C_16S_4_203SD_1_root_S139	16S_515_926	LH5TF
C_16S_4_203SD_2_rhizo_S52	16S_515_926	LH5TF
C_16S_4_203SD_2_root_S151	16S_515_926	LH5TF
C_16S_4_203SD_3_rhizo_S64	16S_515_926	LH5TF
C_16S_4_203SD_3_root_S163	16S_515_926	LH5TF
C_16S_4_214SI_1_rhizo_S46	16S_515_926	LH5TF
C_16S_4_214SI_1_root_S145	16S_515_926	LH5TF
C_16S_4_214SI_2_rhizo_S58	16S_515_926	LH5TF
C_16S_4_214SI_2_root_S157	16S_515_926	LH5TF
C_16S_4_214SI_3_rhizo_S70	16S_515_926	LH5TF
C_16S_4_214SI_3_root_S169	16S_515_926	LH5TF
C_16S_4_330SD_1_rhizo_S76	16S_515_926	LH5TF
C_16S_4_330SD_1_root_S175	16S_515_926	LH5TF
C_16S_4_330SD_2_rhizo_S88	16S_515_926	LH5TF
C_16S_4_330SD_2_root_S187	16S_515_926	LH5TF
C_16S_4_330SD_3_rhizo_S5	16S_515_926	LH5TF
C_16S_4_330SD_3_root_S104	16S_515_926	LH5TF
C_16S_4_342SI_1_rhizo_S82	16S_515_926	LH5TF
C_16S_4_342SI_1_root_S181	16S_515_926	LH5TF
C_16S_4_342SI_2_rhizo_S94	16S_515_926	LH5TF
C_16S_4_342SI_2_root_S193	16S_515_926	LH5TF
C_16S_4_342SI_3_rhizo_S11	16S_515_926	LH5TF
C_16S_4_342SI_3_root_S110	16S_515_926	LH5TF
C_16S_4_403SI_1_rhizo_S23	16S_515_926	LH5TF
C_16S_4_403SI_1_root_S122	16S_515_926	LH5TF
C_16S_4_403SI_2_rhizo_S35	16S_515_926	LH5TF
C_16S_4_403SI_2_root_S134	16S_515_926	LH5TF
C_16S_4_403SI_3_rhizo_S47	16S_515_926	LH5TF
C_16S_4_403SI_3_root_S146	16S_515_926	LH5TF
C_16S_4_415SD_1_rhizo_S17	16S_515_926	LH5TF
C_16S_4_415SD_1_root_S116	16S_515_926	LH5TF
C_16S_4_415SD_2_rhizo_S29	16S_515_926	LH5TF
C_16S_4_415SD_2_root_S128	16S_515_926	LH5TF
C_16S_4_415SD_3_rhizo_S41	16S_515_926	LH5TF
C_16S_4_415SD_3_root_S140	16S_515_926	LH5TF
C_16S_5_121SD_1_rhizo_S53	16S_515_926	LH5TF
C_16S_5_121SD_1_root_S152	16S_515_926	LH5TF
C_16S_5_121SD_2_rhizo_S65	16S_515_926	LH5TF
C_16S_5_121SD_2_root_S164	16S_515_926	LH5TF
C_16S_5_121SD_3_rhizo_S77	16S_515_926	LH5TF
C_16S_5_121SD_3_root_S176	16S_515_926	LH5TF
C_16S_5_136SI_1_rhizo_S59	16S_515_926	LH5TF
C_16S_5_136SI_1_root_S158	16S_515_926	LH5TF
C_16S_5_136SI_2_rhizo_S71	16S_515_926	LH5TF
C_16S_5_136SI_2_root_S170	16S_515_926	LH5TF
C_16S_5_136SI_3_rhizo_S83	16S_515_926	LH5TF
C_16S_5_136SI_3_root_S182	16S_515_926	LH5TF
C_16S_5_206SD_1_rhizo_S89	16S_515_926	LH5TF
C_16S_5_206SD_1_root_S188	16S_515_926	LH5TF
C_16S_5_206SD_2_rhizo_S6	16S_515_926	LH5TF
C_16S_5_206SD_2_root_S105	16S_515_926	LH5TF
C_16S_5_206SD_3_rhizo_S18	16S_515_926	LH5TF
C_16S_5_206SD_3_root_S117	16S_515_926	LH5TF
C_16S_5_206SD_3_soil_S98	16S_515_926	LH5TF
C_16S_5_227SI_1_rhizo_S95	16S_515_926	LH5TF
C_16S_5_227SI_1_root_S194	16S_515_926	LH5TF
C_16S_5_227SI_2_rhizo_S12	16S_515_926	LH5TF
C_16S_5_227SI_2_root_S111	16S_515_926	LH5TF
C_16S_5_227SI_3_rhizo_S24	16S_515_926	LH5TF
C_16S_5_227SI_3_root_S123	16S_515_926	LH5TF
C_16S_5_329SD_1_rhizo_S30	16S_515_926	LH5TF
C_16S_5_329SD_1_root_S129	16S_515_926	LH5TF
C_16S_5_329SD_2_rhizo_S42	16S_515_926	LH5TF
C_16S_5_329SD_2_root_S141	16S_515_926	LH5TF
C_16S_5_329SD_2_soil_S99	16S_515_926	LH5TF
C_16S_5_329SD_3_rhizo_S54	16S_515_926	LH5TF
C_16S_5_329SD_3_root_S153	16S_515_926	LH5TF
C_16S_5_334SI_1_rhizo_S36	16S_515_926	LH5TF
C_16S_5_334SI_1_root_S135	16S_515_926	LH5TF
C_16S_5_334SI_2_rhizo_S48	16S_515_926	LH5TF
C_16S_5_334SI_2_root_S147	16S_515_926	LH5TF
C_16S_5_334SI_3_rhizo_S60	16S_515_926	LH5TF
C_16S_5_334SI_3_root_S159	16S_515_926	LH5TF
C_16S_5_416SI_1_rhizo_S72	16S_515_926	LH5TF
C_16S_5_416SI_1_root_S171	16S_515_926	LH5TF
C_16S_5_416SI_2_rhizo_S84	16S_515_926	LH5TF
C_16S_5_416SI_2_root_S183	16S_515_926	LH5TF
C_16S_5_416SI_3_rhizo_S96	16S_515_926	LH5TF
C_16S_5_416SI_3_root_S195	16S_515_926	LH5TF
C_16S_5_426SD_1_rhizo_S66	16S_515_926	LH5TF
C_16S_5_426SD_1_root_S165	16S_515_926	LH5TF
C_16S_5_426SD_2_rhizo_S78	16S_515_926	LH5TF
C_16S_5_426SD_2_root_S177	16S_515_926	LH5TF
C_16S_5_426SD_3_rhizo_S90	16S_515_926	LH5TF
C_16S_5_426SD_3_root_S189	16S_515_926	LH5TF
Undetermined_S0	16S_515_926	LH5TF
